"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Método","Potencia","tcomp"
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0,1,NA,"MANTA",0.049,1.11971926689148
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.2,1,NA,"MANTA",0.04,1.17829036712646
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,"MANTA",0.044,1.1012589931488
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.6,1,NA,"MANTA",0.047,1.09225678443909
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.8,1,NA,"MANTA",0.049,1.0720808506012
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0,1,NA,"MANTA",0.965,1.29920220375061
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.2,1,NA,"MANTA",0.951,1.07772493362427
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.4,1,NA,"MANTA",0.909,1.05269861221313
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.6,1,NA,"MANTA",0.848,1.06239080429077
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.8,1,NA,"MANTA",0.795,1.10152697563171
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0,1,NA,"MANTA",1,1.08706617355347
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.2,1,NA,"MANTA",1,1.07530283927917
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.4,1,NA,"MANTA",1,1.07317805290222
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.6,1,NA,"MANTA",1,1.33295440673828
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.8,1,NA,"MANTA",1,1.12743139266968
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0,1,NA,"MANTA",1,1.07200312614441
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.2,1,NA,"MANTA",1,1.08178114891052
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.4,1,NA,"MANTA",1,1.09997224807739
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.6,1,NA,"MANTA",1,1.36133241653442
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.8,1,NA,"MANTA",1,1.20759201049805
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.8,0,1,NA,"MANTA",1,1.10159873962402
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.8,0.2,1,NA,"MANTA",1,1.07208895683289
